Time,Open,High,Low,Close,Volume
2024-06-02 21:00:00+00:00,2325.76,2326.95,2325.76,2326.95,2
2024-06-02 22:00:00+00:00,2328.77,2329.12,2322.7,2323.37,64
2024-06-02 22:30:00+00:00,2323.38,2326.56,2323.38,2326.56,68
2024-06-02 23:00:00+00:00,2325.3,2326.58,2324.2,2325.57,68
2024-06-02 23:30:00+00:00,2325.39,2326.04,2323.9,2325.55,67
2024-06-03 00:00:00+00:00,2326.04,2326.07,2323.5,2325.05,82
2024-06-03 00:30:00+00:00,2324.97,2327.27,2323.6,2327.18,81
2024-06-03 01:00:00+00:00,2327.69,2330.94,2326.0,2328.76,82
2024-06-03 01:30:00+00:00,2328.44,2330.7,2327.2,2330.69,80
2024-06-03 02:00:00+00:00,2330.78,2330.86,2328.1,2328.62,79
2024-06-03 02:30:00+00:00,2328.76,2329.45,2325.53,2326.45,77
2024-06-03 03:00:00+00:00,2325.89,2327.9,2323.67,2323.67,81
2024-06-03 03:30:00+00:00,2322.9,2324.27,2321.06,2321.27,79
2024-06-03 04:00:00+00:00,2320.1,2322.39,2320.1,2321.43,80
2024-06-03 04:30:00+00:00,2321.34,2321.62,2319.94,2321.0,79
2024-06-03 05:00:00+00:00,2321.21,2323.39,2320.78,2322.61,80
2024-06-03 05:30:00+00:00,2323.31,2323.31,2316.06,2320.02,77
2024-06-03 06:00:00+00:00,2319.92,2320.62,2314.87,2315.56,79
2024-06-03 06:30:00+00:00,2316.0,2322.68,2314.85,2322.09,79
2024-06-03 07:00:00+00:00,2322.51,2328.3,2321.61,2324.84,75
2024-06-03 07:30:00+00:00,2324.62,2326.24,2323.1,2325.94,77
2024-06-03 08:00:00+00:00,2325.34,2327.71,2325.12,2327.51,78
2024-06-03 08:30:00+00:00,2327.68,2328.31,2324.6,2325.21,79
2024-06-03 09:00:00+00:00,2325.56,2327.57,2324.44,2324.44,78
2024-06-03 09:30:00+00:00,2324.68,2328.46,2324.64,2327.69,78
2024-06-03 10:00:00+00:00,2328.46,2329.05,2326.22,2328.02,77
2024-06-03 10:30:00+00:00,2328.08,2331.61,2327.39,2330.83,78
2024-06-03 11:00:00+00:00,2331.12,2332.11,2330.52,2331.19,78
2024-06-03 11:30:00+00:00,2331.44,2331.52,2329.0,2329.96,78
2024-06-03 12:00:00+00:00,2328.66,2331.92,2325.78,2331.63,78
2024-06-03 12:30:00+00:00,2331.82,2334.12,2331.21,2333.99,78
2024-06-03 13:00:00+00:00,2334.56,2335.79,2330.3,2333.58,79
2024-06-03 13:30:00+00:00,2332.68,2336.42,2330.05,2332.85,78
2024-06-03 14:00:00+00:00,2341.15,2341.56,2332.85,2339.43,74
2024-06-03 14:30:00+00:00,2340.12,2345.03,2339.37,2341.63,75
2024-06-03 15:00:00+00:00,2340.79,2344.04,2335.78,2342.36,78
2024-06-03 15:30:00+00:00,2342.85,2343.9,2340.74,2342.7,76
2024-06-03 16:00:00+00:00,2342.89,2343.65,2341.37,2342.02,77
2024-06-03 16:30:00+00:00,2343.54,2349.67,2343.12,2349.67,76
2024-06-03 17:00:00+00:00,2347.68,2354.29,2347.31,2348.53,78
2024-06-03 17:30:00+00:00,2348.44,2350.28,2346.16,2347.92,78
2024-06-03 18:00:00+00:00,2348.26,2349.17,2346.42,2348.63,76
2024-06-03 18:30:00+00:00,2348.74,2348.74,2346.65,2347.73,78
2024-06-03 19:00:00+00:00,2348.16,2348.69,2345.1,2345.6,79
2024-06-03 19:30:00+00:00,2345.84,2347.57,2344.68,2347.4,76
2024-06-03 20:00:00+00:00,2347.59,2348.88,2347.05,2348.86,75
2024-06-03 20:30:00+00:00,2349.04,2350.84,2348.86,2350.5,79
2024-06-03 21:00:00+00:00,2350.5,2350.5,2350.46,2350.46,2
2024-06-03 22:00:00+00:00,2351.89,2351.89,2349.7,2350.58,77
2024-06-03 22:30:00+00:00,2350.34,2350.93,2349.2,2350.69,79
2024-06-03 23:00:00+00:00,2350.58,2350.98,2349.2,2350.48,81
2024-06-03 23:30:00+00:00,2350.41,2350.79,2349.4,2350.39,81
2024-06-04 00:00:00+00:00,2350.55,2351.91,2349.2,2350.99,79
2024-06-04 00:30:00+00:00,2351.71,2352.32,2350.21,2350.51,79
2024-06-04 01:00:00+00:00,2350.59,2352.13,2346.96,2347.09,78
2024-06-04 01:30:00+00:00,2347.46,2347.84,2342.5,2347.17,77
2024-06-04 02:00:00+00:00,2346.65,2349.28,2346.36,2346.73,76
2024-06-04 02:30:00+00:00,2347.16,2347.5,2345.6,2347.04,79
2024-06-04 03:00:00+00:00,2347.13,2347.13,2343.8,2345.24,80
2024-06-04 03:30:00+00:00,2345.16,2345.94,2344.05,2345.39,78
2024-06-04 04:00:00+00:00,2345.41,2348.63,2345.13,2348.4,79
2024-06-04 04:30:00+00:00,2348.25,2349.67,2347.5,2349.18,82
2024-06-04 05:00:00+00:00,2349.18,2349.39,2347.8,2348.29,79
2024-06-04 05:30:00+00:00,2348.08,2348.9,2346.6,2347.51,82
2024-06-04 06:00:00+00:00,2347.33,2351.25,2347.33,2348.7,76
2024-06-04 06:30:00+00:00,2348.57,2348.7,2344.42,2344.45,76
2024-06-04 07:00:00+00:00,2344.06,2345.06,2342.69,2343.12,77
2024-06-04 07:30:00+00:00,2343.23,2343.94,2339.21,2339.57,76
